37,37,37,37,37,37,37,37,37,37
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
3:00:00,3:00:00,3:00:00,3:00:00,3:00:00,3:00:00,3:00:00,3:00:00,3:00:00,3:00:00
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
34,34,34,34,34,34,34,34,34,34
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
2:30:00,2:30:00,2:30:00,2:30:00,2:30:00,2:30:00,2:30:00,2:30:00,2:30:00,2:30:00
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
30,30,30,30,30,30,30,30,30,30
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
2:00:00,2:00:00,2:00:00,2:00:00,2:00:00,2:00:00,2:00:00,2:00:00,2:00:00,2:00:00
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
26,26,26,26,26,26,26,26,26,26
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
1:30:00,1:30:00,1:30:00,1:30:00,1:30:00,1:30:00,1:30:00,1:30:00,1:30:00,1:30:00
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,23,23,23,23,-,23,-,23
-,-,30,33,29,41,-,43,-,37
-,-,28,30,26,25,-,37,-,25
-,-,2,3,3,16,-,6,-,12
-,-,24,24,25,40,-,28,-,38
-,-,0:00:12,1:58:13,1:37:39,0:00:30,-,0:01:02,-,0:01:59
-,-,2,3,2,5,-,3,-,5
-,-,3148,5363,10399,8843,-,10143,-,18239
-,-,25,25,26,41,-,29,-,39
19,19,19,19,19,19,19,19,19,19
22,25,24,25,23,25,28,22,23,32
22,20,18,18,21,22,20,17,20,23
0,5,6,7,2,3,8,5,3,9
18,23,21,26,20,20,27,22,20,29
0:00:07,0:07:10,0:00:08,0:04:18,0:05:55,0:05:02,0:07:17,0:08:45,0:06:41,0:09:33
1,3,4,4,2,3,4,3,3,4
2083,1175,4907,6263,6399,1679,8663,2047,1727,1887
19,24,22,27,21,21,28,23,21,30
15,15,15,15,15,15,15,15,15,15
40,23,23,36,22,23,24,20,26,28
18,18,16,23,17,15,20,18,15,15
22,5,7,13,5,8,4,2,11,13
55,18,22,51,19,30,17,14,23,26
0:00:27,0:00:19,0:00:01,0:00:02,0:00:18,0:00:13,0:00:13,0:00:01,0:00:02,0:00:03
7,3,4,8,3,4,3,3,5,5
1279,567,779,447,391,575,471,155,503,743
56,19,23,52,20,31,18,15,24,27
12,12,12,12,12,12,12,12,12,12
15,21,13,12,21,14,17,14,20,20
10,11,9,12,15,11,11,11,9,15
5,10,4,0,6,3,6,3,11,5
14,24,16,11,18,12,19,15,19,15
0:00:02,0:00:02,0:00:02,0:00:00,0:00:01,0:00:02,0:00:02,0:00:02,0:00:03,0:00:00
4,7,3,1,4,2,3,3,6,5
249,307,579,129,215,63,175,495,687,67
15,25,17,12,19,13,20,16,24,16
8,8,8,8,8,8,8,8,8,8
11,13,14,16,7,8,10,7,10,5
4,8,10,10,5,7,7,6,6,4
7,5,4,6,2,1,3,1,4,1
11,22,5,11,8,7,7,7,9,7
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:01
5,5,4,4,2,2,2,2,4,2
111,33,51,24,99,29,35,31,50,95
16,23,11,12,9,8,10,8,10,8
4,4,4,4,4,4,4,4,4,4
2,3,6,4,5,2,3,4,2,6
2,2,3,3,4,2,2,3,2,3
0,1,3,1,1,0,1,1,0,3
2,3,2,1,2,2,1,1,2,1
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:01
1,2,3,2,2,1,2,2,1,3
9,8,6,7,6,9,9,7,7,6
4,4,4,4,4,4,5,4,4,6
