37,37,37,37,37,37,37,37,37,37
46,46,46,46,46,46,46,46,46,46
46,46,46,46,46,46,46,46,46,46
0,0,0,0,0,0,0,0,0,0
36,36,36,36,36,36,36,36,36,36
0:00:00,0:00:00,0:00:01,0:00:00,0:00:01,0:00:01,0:00:01,0:00:01,0:00:00,0:00:00
1,1,1,1,1,1,1,1,1,1
34,34,34,34,34,34,34,34,34,34
42,43,41,44,41,43,45,43,46,47
42,42,41,41,41,41,39,42,44,45
0,1,0,3,0,2,6,1,2,2
33,34,33,35,33,35,40,34,35,35
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:01,0:00:01,0:00:00,0:00:00
1,2,1,3,1,2,4,2,2,2
30,30,30,30,30,30,30,30,30,30
44,37,35,48,36,42,46,39,38,37
33,34,34,39,33,40,39,34,38,37
11,3,1,9,3,2,7,5,0,0
43,33,30,42,33,30,41,35,29,29
0:00:00,0:00:00,0:00:00,0:00:01,0:00:00,0:00:00,0:00:01,0:00:00,0:00:00,0:00:00
5,3,2,4,3,2,4,3,1,1
26,26,26,26,26,26,26,26,26,26
54,43,32,41,37,39,40,38,56,40
36,32,31,34,33,29,32,34,43,29
18,11,1,7,4,10,8,4,13,11
58,44,26,32,28,37,33,28,68,49
0:00:01,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:01,0:00:01
6,5,2,3,3,5,4,3,7,6
23,23,23,23,23,23,23,23,23,23
35,31,32,41,37,36,29,36,29,30
26,29,27,30,33,31,29,32,27,27
9,2,5,11,4,5,0,4,2,3
33,24,28,56,26,26,22,25,23,25
0:00:00,0:00:00,0:00:00,0:00:01,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
5,2,3,6,4,3,1,3,2,2
19,19,19,19,19,19,19,19,19,19
28,21,25,23,30,33,51,26,29,28
22,20,21,20,21,21,40,20,22,22
6,1,4,3,9,12,11,6,7,6
26,19,21,22,31,42,37,25,24,21
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:01,0:00:00,0:00:00,0:00:00
5,2,3,3,4,5,5,4,4,4
15,15,15,15,15,15,15,15,15,15
26,19,19,23,37,38,30,18,22,23
13,18,15,20,21,19,17,11,15,13
13,1,4,3,16,19,13,7,7,10
22,14,19,16,57,58,56,17,27,26
0:00:00,0:00:00,0:00:00,0:00:00,0:00:01,0:00:00,0:00:01,0:00:00,0:00:00,0:00:00
5,2,3,2,7,6,8,4,5,4
12,12,12,12,12,12,12,12,12,12
25,17,34,18,20,22,35,18,19,15
14,10,19,15,13,15,21,15,16,14
11,7,15,3,7,7,14,3,3,1
21,23,29,13,21,18,28,15,13,12
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
6,4,6,3,6,3,6,3,3,2
8,8,8,8,8,8,8,8,8,8
8,9,6,13,7,4,11,8,6,3
5,7,4,11,5,3,6,7,3,3
3,2,2,2,2,1,5,1,3,0
10,6,6,8,8,8,9,8,4,7
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,2,2,3,3,2,5,2,3,1
4,4,4,4,4,4,4,4,4,4
6,3,3,5,3,6,2,1,2,5
3,3,2,4,2,3,2,1,1,2
3,0,1,1,1,3,0,0,1,3
2,2,1,1,1,1,2,2,3,1
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,1,2,2,2,3,1,1,2,3
