48,48,48,48,48,48,48,48,48,48
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
6:00:00,6:00:00,6:00:00,6:00:00,6:00:00,6:00:00,6:00:00,6:00:00,6:00:00,6:00:00
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
44,44,44,44,44,44,44,44,44,44
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
3:00:00,3:00:00,3:00:00,3:00:00,3:00:00,3:00:00,3:00:00,3:00:00,3:00:00,3:00:00
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
39,39,39,39,39,39,39,39,39,39
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
2:00:00,2:00:00,2:00:00,2:00:00,2:00:00,2:00:00,2:00:00,2:00:00,2:00:00,2:00:00
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-
34,34,34,34,34,34,34,34,34,34
77,80,91,143,69,91,107,93,84,84
67,54,72,93,64,70,65,69,69,62
10,26,19,50,5,21,42,24,15,22
40,243,59,133,36,65,122,59,41,50
0:35:06,0:05:29,0:23:16,0:13:12,0:34:37,0:10:05,0:02:37,0:02:22,0:13:21,0:10:44
4,10,6,11,3,8,13,9,5,7
50367,47759,73759,64777,58159,23171,22003,13107,27499,51375
41,244,60,134,37,66,123,60,42,51
29,29,29,29,29,29,29,29,29,29
99,68,112,84,85,84,76,80,105,120
56,60,57,62,56,55,52,67,67,78
43,8,55,22,29,29,24,13,38,42
71,33,101,45,88,47,54,41,56,50
0:00:34,0:01:44,0:01:40,0:00:35,0:07:59,0:00:42,0:08:18,0:01:27,0:01:28,0:00:28
11,3,12,8,9,9,7,5,10,10
9609,12860,12791,12631,37255,9462,28007,11131,13975,6439
74,34,102,48,89,48,55,42,57,51
24,24,24,24,24,24,24,24,24,24
70,62,85,78,71,79,66,76,79,82
56,40,45,41,43,48,50,51,54,56
14,22,40,37,28,31,16,25,25,26
44,45,52,128,56,45,39,49,53,35
0:00:14,0:00:31,0:00:04,0:00:14,0:00:13,0:00:09,0:00:09,0:00:33,0:00:03,0:00:15
6,6,12,10,11,10,4,10,12,10
2683,8705,1977,4285,3425,2929,4135,3977,799,4629
45,46,53,129,57,46,40,50,54,36
20,20,20,20,20,20,20,20,20,20
38,151,68,62,83,59,99,69,59,115
30,78,47,35,59,34,56,49,38,55
8,73,21,27,24,25,43,20,21,60
25,41,25,68,32,33,34,40,28,67
0:14:15,0:00:02,0:00:01,0:13:48,0:00:10,0:00:10,0:00:02,0:14:26,0:00:02,0:00:02
4,13,6,6,8,8,11,6,6,12
2727,1131,257,1285,2103,3897,613,1103,1283,1255
26,88,26,69,33,34,35,41,29,68
15,15,15,15,15,15,15,15,15,15
70,69,38,39,41,38,56,42,47,46
23,39,22,23,22,30,35,22,21,29
47,30,16,16,19,8,21,20,26,17
29,11,28,23,19,16,17,21,23,21
0:00:01,0:00:00,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:02,0:00:01,0:00:02
11,10,7,5,8,5,8,8,9,7
217,233,484,741,462,788,489,1365,541,1107
32,22,29,24,20,17,18,22,24,22
10,10,10,10,10,10,10,10,10,10
15,24,19,27,21,17,14,27,37,32
9,14,12,21,14,11,8,18,14,15
6,10,7,6,7,6,6,9,23,17
14,13,10,7,12,10,20,8,4,8
0:00:01,0:00:00,0:00:01,0:00:00,0:00:00,0:00:01,0:00:01,0:00:00,0:00:00,0:00:01
4,5,5,4,6,5,4,6,8,7
171,51,181,75,192,288,107,70,60,67
15,14,13,12,14,12,21,12,23,13
5,5,5,5,5,5,5,5,5,5
9,7,8,10,2,12,12,1,10,12
5,4,4,4,2,4,6,1,5,3
4,3,4,6,0,8,6,0,5,9
3,3,2,2,3,3,1,3,2,1
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
4,4,4,4,1,5,4,1,4,5
12,16,12,11,19,13,7,23,11,13
5,5,6,9,5,10,6,5,9,12
