20,20,20,20,20,20,20,20,20,20
25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25
0,0,0,0,0,0,0,0,0,0
18,18,18,18,18,18,18,18,18,18
0:00:47,0:00:45,0:00:47,0:00:45,0:00:46,0:00:46,0:00:47,0:00:46,0:00:48,0:00:46
1,1,1,1,1,1,1,1,1,1
3367,3367,3367,3367,3367,3367,3367,3367,3367,3367
20,20,20,20,20,20,20,20,20,20
18,18,18,18,18,18,18,18,18,18
22,23,23,24,29,22,29,23,23,23
22,22,23,23,22,22,23,23,23,22
0,1,0,1,7,0,6,0,0,1
16,17,16,17,35,16,27,16,16,17
0:00:14,0:00:11,0:00:11,0:00:16,0:00:17,0:00:09,0:00:21,0:00:10,0:00:09,0:00:12
1,2,1,2,5,1,4,1,1,2
2107,1913,1517,2089,2773,1465,2269,1792,1603,2167
18,19,18,19,37,18,29,18,18,19
16,16,16,16,16,16,16,16,16,16
23,41,25,26,30,20,21,26,27,20
21,20,19,20,15,19,21,19,21,20
2,21,6,6,15,1,0,7,6,0
16,24,25,25,10,15,14,33,25,14
0:00:05,0:00:06,0:00:05,0:00:05,0:00:06,0:00:07,0:00:05,0:00:05,0:00:03,0:00:03
2,7,4,4,6,2,1,5,4,1
1500,1444,1345,1233,1355,1548,1284,1345,1135,739
18,104,27,27,73,17,16,35,27,16
14,14,14,14,14,14,14,14,14,14
31,17,18,20,39,38,21,18,25,17
16,16,18,19,18,17,17,17,18,17
15,1,0,1,21,21,4,1,7,0
15,13,12,13,22,6,20,13,30,12
0:00:02,0:00:01,0:00:02,0:00:01,0:00:01,0:00:02,0:00:01,0:00:01,0:00:03,0:00:01
6,2,1,2,7,7,4,2,5,1
672,665,810,475,480,675,589,505,1008,585
55,15,14,15,60,78,22,15,32,14
12,12,12,12,12,12,12,12,12,12
30,41,16,15,29,30,17,21,34,15
9,13,15,15,13,9,15,14,13,14
21,28,1,0,16,21,2,7,21,1
49,51,11,10,11,49,12,29,16,11
0:00:02,0:00:01,0:00:00,0:00:00,0:00:00,0:00:02,0:00:01,0:00:00,0:00:01,0:00:00
7,8,2,1,6,7,2,5,7,2
515,504,253,173,229,515,292,337,360,197
76,163,13,12,54,76,14,31,76,13
10,10,10,10,10,10,10,10,10,10
15,33,15,32,24,13,33,13,42,35
10,5,11,11,14,12,12,12,6,14
5,28,4,21,10,1,21,1,36,21
21,89,16,2,8,9,8,8,47,18
0:00:00,0:00:01,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:01,0:00:00
5,8,4,7,5,2,7,2,9,7
145,287,97,162,75,73,108,63,239,118
23,129,18,74,19,11,74,10,192,56
8,8,8,8,8,8,8,8,8,8
9,10,25,12,10,31,10,21,12,13
9,9,10,8,9,3,10,6,11,7
0,1,15,4,1,28,0,15,1,6
6,7,5,14,7,0,6,8,7,4
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1,2,6,4,2,8,1,6,2,4
31,48,48,49,31,119,40,53,27,51
8,9,33,16,9,119,8,31,9,15
6,6,6,6,6,6,6,6,6,6
16,6,13,13,16,14,16,8,16,12
1,6,3,3,6,4,1,8,1,2
15,0,10,10,10,10,15,0,15,10
0,4,7,5,0,5,0,3,0,11
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
6,1,5,5,5,5,6,1,6,5
47,13,31,29,24,19,47,17,47,35
47,6,24,24,24,14,47,6,47,24
4,4,4,4,4,4,4,4,4,4
7,7,5,8,4,6,5,6,7,6
1,1,2,2,4,3,4,3,4,3
6,6,3,6,0,3,1,3,3,3
0,0,3,0,2,0,1,0,0,0
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
4,4,3,4,1,3,2,3,3,3
11,11,9,9,6,8,6,8,6,8
11,11,6,9,4,8,5,8,6,8
2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1
0,0,0,0,1,1,0,0,0,0
1,1,1,1,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
2,2,2,2,1,1,2,2,2,2
3,3,3,3,2,2,3,3,3,3
3,3,3,3,2,2,3,3,3,3
