1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,19,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,19,19
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1,2,5,4,4,4,3,1,1,3,6,1,3,7,2,3,2,5,4,4,3,1,4,2,3,4,3,1,3,2
17,18,21,17,17,24,21,16,17,17,25,17,19,18,18,18,17,22,18,22,17,17,20,18,17,19,19,17,19,16
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
6,1,3,8,6,8,5,5,5,2,8,5,3,4,4,6,3,3,7,2,5,2,7,4,3,5,5,2,4,2
21,15,17,20,28,16,17,26,17,16,18,15,16,20,20,15,15,15,18,15,16,15,26,18,13,17,16,16,15,15
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
7,5,11,9,5,8,10,6,3,6,2,5,9,4,6,9,5,3,5,7,4,4,10,5,5,2,3,4,6,5
12,11,17,27,17,14,22,15,13,22,13,16,24,16,17,23,16,14,15,18,16,14,15,14,17,13,13,15,16,14
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
6,4,5,6,8,6,9,6,5,3,8,8,5,4,4,9,4,6,7,6,9,8,5,1,7,7,9,2,2,3
12,13,11,25,16,15,9,8,17,13,11,29,13,11,16,8,13,16,11,7,12,33,12,11,13,5,15,11,10,12
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
5,4,5,9,4,7,7,6,7,5,5,8,3,7,6,5,4,5,6,7,4,8,6,7,7,7,5,3,5,9
4,8,11,9,10,11,4,12,3,4,12,4,11,11,4,8,9,6,9,22,8,16,7,8,2,5,9,7,8,0
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
7,4,6,6,5,4,6,8,7,6,7,4,5,4,6,6,7,5,6,6,7,7,5,6,4,4,4,4,4,7
4,5,7,17,4,3,1,0,10,5,0,4,7,4,4,4,1,7,2,5,2,0,4,3,11,10,7,7,4,1
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,5,4,4,5,4,4,6,4,4,5,3,3,6,3,3,5,4,5,5,5,5,3,6,6,4,4,6,3,6
2,7,5,2,2,2,1,0,1,1,1,4,1,2,3,5,1,1,3,3,6,4,2,0,0,4,1,0,3,1
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
4,4,4,2,3,1,3,3,4,2,2,2,2,2,4,4,4,3,3,1,4,2,3,3,2,3,3,2,3,4
0,1,0,2,0,2,1,1,0,2,2,1,1,3,0,0,0,1,0,2,0,0,2,0,1,0,0,2,1,0
