50,50,50,50,50
150,150,150,150,150
150,150,150,150,150
0,0,0,0,0
49,49,49,49,49
0:00:02,0:00:01,0:00:01,0:00:01,0:00:01
1,1,1,1,1
50,50,50,50,50
165,165,165,165,165
150,150,150,150,150
15,15,15,15,15
51,49,50,49,49
0:00:02,0:00:01,0:00:01,0:00:01,0:00:01
6,5,8,5,3
50,50,50,50,50
180,180,180,180,180
150,150,150,150,150
30,30,30,30,30
69,112,64,55,52
0:00:03,0:00:07,0:00:02,0:00:02,0:00:02
19,23,15,17,9
50,50,50,50,50
195,195,195,195,195
150,150,150,150,150
45,45,45,45,45
110,84,74,279,87
0:00:09,0:00:06,0:00:04,0:00:26,0:00:06
39,41,36,34,37
50,50,50,50,50
210,210,210,210,210
150,150,150,150,150
60,60,60,60,60
284,202,80,93,210
0:00:38,0:00:22,0:00:11,0:00:08,0:00:21
45,43,45,45,46
50,50,50,50,50
225,225,225,225,225
150,150,150,150,150
75,75,75,75,75
95,600,94,495,324
0:00:12,0:01:20,0:00:11,0:01:10,0:00:45
47,49,50,47,49
50,50,50,50,50
240,240,240,240,240
150,150,150,150,150
90,90,90,90,90
644,126,613,519,1590
0:01:32,0:00:09,0:01:54,0:01:29,0:12:51
49,49,49,48,49
50,50,50,50,50
255,255,255,255,255
150,150,150,150,150
105,105,105,105,105
162,58,55,91,344
0:00:24,0:00:11,0:00:11,0:00:10,0:00:34
50,50,49,49,49
50,50,50,50,50
270,270,270,270,270
150,150,150,150,150
120,120,120,120,120
1359,62,84,92,259
0:01:11,0:00:17,0:00:26,0:00:16,0:00:24
50,50,50,50,50
50,50,50,50,50
285,285,285,285,285
150,150,150,150,150
135,135,135,135,135
41,785,39,438,182
0:00:18,0:01:07,0:00:14,0:00:48,0:00:19
50,50,50,50,50
50,50,50,50,50
300,300,300,300,300
150,150,150,150,150
150,150,150,150,150
26,53,828,264,750
0:00:14,0:00:20,0:00:51,0:00:36,0:02:49
50,50,50,50,50
