1,1,1,1,1,1,1,1,1,1
19,19,19,19,19,19,19,19,19,19
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
4,3,3,4,3,3,4,3,2,2
25,21,22,22,23,24,24,22,21,23
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,4,3,8,4,7,5,5,8,3
26,26,25,31,26,27,29,27,27,27
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
8,7,7,6,9,9,6,7,5,13
40,35,38,39,65,41,40,41,41,44
0:00:00,0:00:00,0:00:00,0:00:00,0:00:01,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
16,15,14,7,16,11,16,17,7,10
92,88,55,43,116,59,117,278,43,98
0:00:01,0:00:01,0:00:00,0:00:00,0:00:02,0:00:01,0:00:03,0:00:07,0:00:00,0:00:01
18,18,17,18,14,17,16,16,18,16
285,337,823,380,432,295,244,570,535,686
0:00:06,0:00:06,0:00:15,0:00:10,0:00:07,0:00:07,0:00:05,0:00:10,0:00:17,0:00:19
18,19,19,19,17,18,20,19,17,18
714,389,1677,2549,743,910,667,1036,974,1181
0:00:22,0:00:11,0:00:57,0:01:19,0:00:20,0:00:21,0:00:16,0:00:24,0:00:33,0:00:32
18,20,19,19,18,18,20,20,20,18
2846,4182,3510,5521,2821,4081,4203,1692,3352,2556
0:01:50,0:02:20,0:01:21,0:02:02,0:01:12,0:02:49,0:02:10,0:01:06,0:02:09,0:01:14
20,20,20,19,19,20,20,20,20,20
8715,12920,10369,11628,12185,9531,16002,21551,18893,11246
0:04:13,0:07:29,0:04:41,0:04:09,0:05:18,0:03:50,0:07:18,0:12:12,0:09:54,0:07:23
20,20,19,20,20,20,19,19,20,20
47317,41412,47788,36477,36210,42832,48551,39521,65001,42160
0:34:56,0:22:18,0:23:52,0:16:36,0:20:01,0:34:48,0:19:34,0:15:20,0:30:57,0:21:56
