1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,9,9,9,9,8,8,9,9,9,8,9,8,9,9,9,7,9,9,8,9,9,9,9,9,9,8,9,9,8
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,10,10,10,10,9,9,9,10,8,9,10,10,9,8,9,10,10,8,10,10,9,10,9,8,10,10,9,9,9
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,3,3,3,3,4,3,3,3,2,3,3,3,3,4,3,3,2,3,4,2,2,3,3,3,2,3,3,4,2
9,10,11,10,10,13,11,10,12,10,10,11,9,11,9,9,11,11,11,12,11,12,11,12,12,11,9,10,14,11
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,3,3,2,3,4,3,4,3,3,3,5,3,3,3,3,5,5,3,5,4,3,3,5,4,4,3,5,4,4
14,12,9,13,10,12,14,12,12,14,9,10,13,12,13,13,16,8,12,7,15,12,12,11,13,10,12,12,12,9
