1,1,1,1,1,1,1,1,1,1
29,29,29,29,29,29,29,29,29,29
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,2,2,4,3,3,2,3,3,3
34,32,31,32,34,32,33,34,32,33
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,3,4,5,4,6,3,5,5,5
38,38,39,43,39,46,39,40,45,38
0:00:00,0:00:00,0:00:00,0:00:01,0:00:01,0:00:01,0:00:00,0:00:00,0:00:01,0:00:00
8,5,11,6,12,6,5,10,5,5
57,49,89,50,99,52,46,99,43,46
0:00:01,0:00:01,0:00:01,0:00:01,0:00:02,0:00:01,0:00:00,0:00:01,0:00:00,0:00:00
8,13,9,6,10,10,10,14,7,15
75,168,82,65,93,114,98,77,54,243
0:00:01,0:00:04,0:00:02,0:00:01,0:00:02,0:00:02,0:00:02,0:00:02,0:00:01,0:00:07
16,18,17,16,14,17,18,18,10,10
199,1483,186,397,151,174,448,783,97,223
0:00:04,0:00:44,0:00:04,0:00:11,0:00:03,0:00:04,0:00:13,0:00:26,0:00:02,0:00:05
15,12,21,22,25,23,25,21,23,25
928,409,7501,3740,6604,15927,27940,6348,4282,14475
0:00:32,0:00:13,0:05:05,0:02:23,0:04:45,0:10:28,0:19:57,0:04:09,0:02:38,0:09:48
26,26,27,23,25,27,26,26,21,26
96969,98886,108954,28849,104526,88854,57416,78338,48587,50651
1:06:04,1:02:55,1:12:41,0:19:43,1:13:58,0:56:49,0:34:01,0:51:13,0:25:22,0:30:19
