1,1,1,1,1,1,1,1,1,1
10,10,10,10,10,10,10,10,10,10
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
2,2,3,2,2,2,3,3,2,2
12,12,13,12,12,12,13,13,12,12
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,5,4,5,5,4,5,3,3,3
17,23,19,21,23,19,21,17,17,14
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
9,9,9,8,6,5,8,9,7,5
68,86,100,70,42,29,47,76,50,30
0:00:00,0:00:00,0:00:01,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
9,7,10,11,11,9,10,10,11,9
139,80,223,146,179,113,117,221,143,155
0:00:01,0:00:00,0:00:01,0:00:01,0:00:02,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01
11,8,10,11,11,10,10,10,9,10
266,92,159,301,187,285,260,217,220,309
0:00:02,0:00:00,0:00:01,0:00:03,0:00:02,0:00:02,0:00:02,0:00:01,0:00:01,0:00:02
11,11,11,11,10,10,10,11,11,10
359,339,269,221,499,462,391,340,292,520
0:00:04,0:00:03,0:00:03,0:00:02,0:00:03,0:00:03,0:00:02,0:00:03,0:00:03,0:00:03
11,10,10,11,11,10,11,10,11,11
191,453,673,417,163,638,417,542,236,190
0:00:03,0:00:04,0:00:05,0:00:04,0:00:02,0:00:04,0:00:04,0:00:04,0:00:04,0:00:03
11,11,11,11,11,11,11,11,11,11
193,248,350,327,414,206,351,261,339,219
0:00:02,0:00:04,0:00:03,0:00:04,0:00:06,0:00:03,0:00:03,0:00:04,0:00:05,0:00:05
11,11,11,11,11,11,11,11,11,11
429,193,248,480,407,306,302,263,155,224
0:00:06,0:00:03,0:00:04,0:00:05,0:00:06,0:00:04,0:00:04,0:00:06,0:00:04,0:00:03
11,11,11,11,11,11,11,11,11,11
170,146,282,270,176,159,211,209,172,195
0:00:05,0:00:04,0:00:09,0:00:05,0:00:04,0:00:06,0:00:03,0:00:04,0:00:06,0:00:04
11,11,11,11,11,11,11,11,11,11
161,114,107,132,412,129,240,172,131,321
0:00:03,0:00:03,0:00:02,0:00:05,0:00:09,0:00:04,0:00:04,0:00:05,0:00:03,0:00:08
11,11,11,11,11,11,11,11,11,11
127,89,64,90,99,149,65,103,114,253
0:00:02,0:00:04,0:00:03,0:00:03,0:00:03,0:00:04,0:00:03,0:00:05,0:00:05,0:00:05
11,11,11,11,11,11,11,11,11,11
144,506,142,71,73,88,95,98,50,163
0:00:03,0:00:05,0:00:02,0:00:03,0:00:03,0:00:03,0:00:02,0:00:03,0:00:04,0:00:03
11,11,11,11,11,11,11,11,11,11
34,60,92,90,42,36,46,58,62,40
0:00:01,0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:02,0:00:02,0:00:02
11,11,11,11,11,11,11,11,11,11
36,61,38,25,124,71,45,30,32,24
0:00:02,0:00:01,0:00:02,0:00:02,0:00:08,0:00:02,0:00:02,0:00:03,0:00:03,0:00:01
11,11,11,11,11,11,11,11,11,11
15,31,26,22,18,23,32,22,15,44
0:00:02,0:00:03,0:00:02,0:00:02,0:00:02,0:00:01,0:00:03,0:00:01,0:00:02,0:00:02
11,11,11,11,11,11,11,11,11,11
10,15,16,28,19,30,23,15,14,19
0:00:01,0:00:01,0:00:02,0:00:01,0:00:02,0:00:02,0:00:02,0:00:02,0:00:01,0:00:01
11,11,11,11,11,11,11,11,11,11
7,10,9,9,8,4,6,8,10,6
0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:00,0:00:01,0:00:01,0:00:01,0:00:01
11,11,11,11,11,11,11,11,11,11
4,2,7,3,4,3,4,4,7,4
0:00:00,0:00:01,0:00:01,0:00:00,0:00:00,0:00:00,0:00:01,0:00:01,0:00:01,0:00:01
