50,50,50,50,50,50,50,50,50,50
100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100
0,0,0,0,0,0,0,0,0,0
49,49,49,49,49,49,49,49,49,49
0:00:02,0:00:01,0:00:01,0:00:01,0:00:01,0:00:02,0:00:01,0:00:01,0:00:02,0:00:01
1,1,1,1,1,1,1,1,1,1
50,50,50,50,50,50,50,50,50,50
222,222,222,222,222,222,222,222,222,222
100,100,100,100,100,100,100,100,100,100
122,122,122,122,122,122,122,122,122,122
2793,113059,12051,55969,7046,95335,5019,12341,8131,859
0:20:01,15:38:31,1:20:01,4:22:41,0:19:27,7:31:59,0:21:03,1:02:16,0:11:25,0:11:44
49,50,50,49,49,48,50,50,50,50
50,50,50,50,50,50,50,50,50,50
345,345,345,345,345,345,345,345,345,345
100,100,100,100,100,100,100,100,100,100
245,245,245,245,245,245,245,245,245,245
1448,2252,6342,5215,2930,1600,85809,590,1072,2762
0:07:47,0:37:40,0:22:37,1:07:30,2:03:08,0:45:24,0:43:08,0:57:16,0:10:55,0:05:38
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
467,467,467,467,467,467,467,467,467,467
100,100,100,100,100,100,100,100,100,100
367,367,367,367,367,367,367,367,367,367
1500,11510,3879,1756,420,336,3345,1092,1175,239
0:49:23,5:56:45,0:12:21,0:02:07,0:02:35,0:16:05,0:10:11,0:01:37,0:52:22,0:00:56
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
590,590,590,590,590,590,590,590,590,590
100,100,100,100,100,100,100,100,100,100
490,490,490,490,490,490,490,490,490,490
275,1207,273,289,177,1412,856,833,8,148
0:28:38,0:04:39,0:02:05,0:01:10,0:01:38,0:07:07,0:03:14,1:50:30,0:01:37,0:35:59
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
712,712,712,712,712,712,712,712,712,712
100,100,100,100,100,100,100,100,100,100
612,612,612,612,612,612,612,612,612,612
170,57,137,474,59,1859,1532,413,290,372
0:13:43,0:01:54,0:08:56,0:29:05,0:24:51,5:39:01,0:05:23,0:04:37,0:03:17,0:03:55
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
835,835,835,835,835,835,835,835,835,835
100,100,100,100,100,100,100,100,100,100
735,735,735,735,735,735,735,735,735,735
623,87,50,30,278,165,258,4,20,157
4:01:19,0:02:50,0:38:13,0:02:42,0:03:39,0:03:12,0:41:30,0:06:11,0:09:26,0:03:20
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
957,957,957,957,957,957,957,957,957,957
100,100,100,100,100,100,100,100,100,100
857,857,857,857,857,857,857,857,857,857
11,18,4,59,18,53,4,41,66,8
0:02:48,0:18:05,0:04:29,0:21:35,0:10:03,0:23:02,0:03:29,0:09:23,0:48:21,0:08:23
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
1080,1080,1080,1080,1080,1080,1080,1080,1080,1080
100,100,100,100,100,100,100,100,100,100
980,980,980,980,980,980,980,980,980,980
34,25,1,37,14,8,4,13,11,8
0:02:24,0:12:59,0:09:40,0:39:18,0:08:41,0:12:03,0:07:34,0:06:18,0:03:33,0:04:24
50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50
1202,1202,1202,1202,1202,1202,1202,1202,1202,1202
100,100,100,100,100,100,100,100,100,100
1102,1102,1102,1102,1102,1102,1102,1102,1102,1102
1,24,0,2,3,11,7,7,4,5
0:08:46,0:05:17,0:06:22,0:09:28,0:10:29,0:18:22,0:03:33,0:32:46,0:05:16,0:04:00
50,50,50,50,50,50,50,50,50,50
