10,10,10,10,10
9,9,9,9,9
9,9,9,9,9
0,0,0,0,0
9,9,8,9,9
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1,1,1,1,1
10,10,10,10,10
13,13,13,13,13
9,9,9,9,9
4,4,4,4,4
12,13,11,15,9
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,3,4,4,3
10,10,10,10,10
18,18,18,18,18
9,9,9,9,9
9,9,9,9,9
28,16,14,14,11
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
9,9,9,10,9
10,10,10,10,10
22,22,22,22,22
9,9,9,9,9
13,13,13,13,13
21,14,19,27,16
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
9,9,10,9,10
10,10,10,10,10
27,27,27,27,27
9,9,9,9,9
18,18,18,18,18
8,14,10,12,16
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
10,10,10,10,10
10,10,10,10,10
31,31,31,31,31
9,9,9,9,9
22,22,22,22,22
3,16,7,6,12
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
10,10,10,10,10
10,10,10,10,10
36,36,36,36,36
9,9,9,9,9
27,27,27,27,27
1,13,5,11,15
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
10,10,10,10,10
10,10,10,10,10
40,40,40,40,40
9,9,9,9,9
31,31,31,31,31
1,2,5,1,4
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
10,10,10,10,10
