20,20,20,20,20,20,20,20,20,20
25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25
0,0,0,0,0,0,0,0,0,0
18,18,18,18,18,18,18,18,18,18
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1,1,1,1,1,1,1,1,1,1
18,18,18,18,18,18,18,18,18,18
23,23,29,22,23,23,22,23,22,23
23,23,23,22,23,23,22,23,22,23
0,0,6,0,0,0,0,0,0,0
16,16,27,16,16,16,16,16,16,16
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1,1,4,1,1,1,1,1,1,1
16,16,16,16,16,16,16,16,16,16
21,49,20,19,23,21,21,19,20,26
21,21,20,19,22,21,20,19,20,18
0,28,0,0,1,0,1,0,0,8
14,49,14,14,15,14,15,14,14,44
0:00:00,0:00:01,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1,8,1,1,2,1,2,1,1,6
14,14,14,14,14,14,14,14,14,14
63,24,55,33,28,19,19,19,32,47
18,18,10,18,13,18,18,18,11,11
45,6,45,15,15,1,1,1,21,36
3,23,114,7,16,12,13,13,57,25
0:00:00,0:00:00,0:00:03,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:01,0:00:00
10,4,10,6,6,2,2,2,7,9
12,12,12,12,12,12,12,12,12,12
37,30,30,17,25,30,20,37,17,14
16,15,9,16,10,9,13,16,16,13
21,15,21,1,15,21,7,21,1,1
16,21,45,11,22,52,29,36,11,11
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:01,0:00:00,0:00:00,0:00:00,0:00:00
7,6,7,2,6,7,5,7,2,2
10,10,10,10,10,10,10,10,10,10
11,13,13,25,13,15,39,40,39,27
11,12,12,4,11,12,11,12,11,6
0,1,1,21,2,3,28,28,28,21
8,9,8,73,10,12,1,1,1,39
0:00:00,0:00:00,0:00:00,0:00:01,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:01
1,2,2,7,2,3,8,8,8,7
8,8,8,8,8,8,8,8,8,8
31,20,20,13,13,11,15,18,9,24
10,5,10,7,7,10,5,3,7,3
21,15,10,6,6,1,10,15,2,21
0,22,10,4,17,7,15,30,9,22
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:01
7,6,5,4,4,2,5,6,3,7
6,6,6,6,6,6,6,6,6,6
11,17,7,13,14,16,16,6,7,15
1,2,6,3,4,1,1,6,7,5
10,15,1,10,10,15,15,0,0,10
15,0,5,15,7,0,0,4,4,1
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
5,6,2,5,5,6,6,1,1,5
4,4,4,4,4,4,4,4,4,4
6,4,6,8,6,7,6,7,4,6
3,3,3,2,0,1,0,1,4,3
3,1,3,6,6,6,6,6,0,3
0,1,1,0,0,0,0,0,2,0
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
3,2,3,4,4,4,4,4,1,3
2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,2,1,1,1,1
0,0,1,0,0,1,0,1,0,0
1,1,0,1,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
2,2,1,2,2,2,2,1,2,2
