10,10,10,10,10,10,10,10,10,10
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
9,9,9,9,9,9,9,9,9,9
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1,1,1,1,1,1,1,1,1,1
10,10,10,10,10,10,10,10,10,10
2,2,2,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,2,2
11,12,11,12,11,11,11,11,12,12
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
2,3,2,3,2,2,2,2,3,3
10,10,10,10,10,10,10,10,10,10
4,4,4,4,4,4,4,4,4,4
0,0,0,0,0,0,0,0,0,0
4,4,4,4,4,4,4,4,4,4
16,13,19,21,17,16,15,15,16,14
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
4,2,5,5,4,4,3,3,4,3
10,10,10,10,10,10,10,10,10,10
6,6,6,6,6,6,6,6,6,6
0,0,0,0,0,0,0,0,0,0
6,6,6,6,6,6,6,6,6,6
36,27,38,22,36,26,28,19,29,23
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
7,6,7,5,7,5,6,4,6,5
10,10,10,10,10,10,10,10,10,10
9,9,9,9,9,9,9,9,9,9
0,0,0,0,0,0,0,0,0,0
9,9,9,9,9,9,9,9,9,9
65,81,82,74,63,76,58,88,60,125
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:01
10,8,10,8,9,8,7,8,7,9
10,10,10,10,10,10,10,10,10,10
11,11,11,11,11,11,11,11,11,11
0,0,0,0,0,0,0,0,0,0
11,11,11,11,11,11,11,11,11,11
119,153,139,127,148,116,208,83,119,112
0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01
10,9,9,10,10,10,9,10,8,8
10,10,10,10,10,10,10,10,10,10
13,13,13,13,13,13,13,13,13,13
0,0,0,0,0,0,0,0,0,0
13,13,13,13,13,13,13,13,13,13
95,171,126,108,118,106,103,117,159,166
0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01
10,10,9,10,10,9,10,10,10,10
10,10,10,10,10,10,10,10,10,10
15,15,15,15,15,15,15,15,15,15
0,0,0,0,0,0,0,0,0,0
15,15,15,15,15,15,15,15,15,15
237,145,108,193,185,194,189,148,123,116
0:00:02,0:00:01,0:00:01,0:00:01,0:00:02,0:00:02,0:00:02,0:00:02,0:00:01,0:00:01
10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10
18,18,18,18,18,18,18,18,18,18
0,0,0,0,0,0,0,0,0,0
18,18,18,18,18,18,18,18,18,18
118,217,140,214,157,203,118,224,147,140
0:00:02,0:00:02,0:00:02,0:00:02,0:00:02,0:00:03,0:00:02,0:00:02,0:00:02,0:00:02
10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10
20,20,20,20,20,20,20,20,20,20
0,0,0,0,0,0,0,0,0,0
20,20,20,20,20,20,20,20,20,20
247,129,130,139,69,73,125,144,100,159
0:00:03,0:00:02,0:00:02,0:00:02,0:00:01,0:00:01,0:00:02,0:00:01,0:00:02,0:00:03
10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10
22,22,22,22,22,22,22,22,22,22
0,0,0,0,0,0,0,0,0,0
22,22,22,22,22,22,22,22,22,22
118,97,232,115,89,120,112,115,89,128
0:00:01,0:00:02,0:00:02,0:00:02,0:00:01,0:00:02,0:00:02,0:00:02,0:00:01,0:00:01
10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10
24,24,24,24,24,24,24,24,24,24
0,0,0,0,0,0,0,0,0,0
24,24,24,24,24,24,24,24,24,24
145,148,93,143,103,107,109,245,72,75
0:00:03,0:00:01,0:00:02,0:00:02,0:00:02,0:00:03,0:00:03,0:00:02,0:00:02,0:00:02
10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10
27,27,27,27,27,27,27,27,27,27
0,0,0,0,0,0,0,0,0,0
27,27,27,27,27,27,27,27,27,27
64,57,58,106,57,85,69,83,24,80
0:00:02,0:00:02,0:00:01,0:00:02,0:00:01,0:00:01,0:00:01,0:00:02,0:00:01,0:00:02
10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10
