30,30,30,30,30
43,43,43,43,43
43,43,43,43,43
0,0,0,0,0
29,29,29,29,29
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1,1,1,1,1
30,30,30,30,30
86,86,86,86,86
43,43,43,43,43
43,43,43,43,43
1685,1002,572,576,1248
0:02:19,0:01:01,0:00:34,0:00:31,0:00:59
29,30,27,26,29
30,30,30,30,30
130,130,130,130,130
43,43,43,43,43
87,87,87,87,87
7400,955,485,948,551
0:46:07,0:04:37,0:05:23,0:01:38,0:01:02
30,30,30,30,30
30,30,30,30,30
173,173,173,173,173
43,43,43,43,43
130,130,130,130,130
788,2072,3797,3142,160
0:01:07,0:08:51,0:07:59,0:17:27,0:01:37
30,30,30,30,30
30,30,30,30,30
217,217,217,217,217
43,43,43,43,43
174,174,174,174,174
224,50,247,199,149
0:05:26,0:00:14,0:03:08,0:02:16,0:03:37
30,30,30,30,30
30,30,30,30,30
260,260,260,260,260
43,43,43,43,43
217,217,217,217,217
30,392,246,98,142
0:00:50,0:03:44,0:06:08,0:01:16,0:04:17
30,30,30,30,30
30,30,30,30,30
304,304,304,304,304
43,43,43,43,43
261,261,261,261,261
46,23,79,3,240
0:00:52,0:01:45,0:03:31,0:00:14,0:00:26
30,30,30,30,30
30,30,30,30,30
347,347,347,347,347
43,43,43,43,43
304,304,304,304,304
33,12,1,41,8
0:00:56,0:00:11,0:00:25,0:00:55,0:00:17
30,30,30,30,30
30,30,30,30,30
391,391,391,391,391
43,43,43,43,43
348,348,348,348,348
3,11,34,11,1
0:00:41,0:01:18,0:01:04,0:00:14,0:00:24
30,30,30,30,30
30,30,30,30,30
434,434,434,434,434
43,43,43,43,43
391,391,391,391,391
6,0,1,4,5
0:01:01,0:00:20,0:00:19,0:01:24,0:01:32
30,30,30,30,30
