1,1,1,1,1,1,1,1,1,1
99,99,99,99,99,99,99,99,99,99
0:00:09,0:00:08,0:00:08,0:00:08,0:00:09,0:00:08,0:00:08,0:00:08,0:00:08,0:00:08
3,3,14,4,3,6,5,2,5,6
91,94,358,95,91,102,109,90,96,99
0:00:06,0:00:07,0:00:44,0:00:07,0:00:06,0:00:08,0:00:09,0:00:06,0:00:07,0:00:08
8,5,5,13,7,5,7,8,5,8
127,93,92,402,157,89,133,123,110,103
0:00:09,0:00:05,0:00:05,0:00:34,0:00:12,0:00:05,0:00:07,0:00:08,0:00:06,0:00:07
10,11,4,20,8,17,5,10,7,9
181,259,79,663,121,412,91,134,77,95
0:00:11,0:00:18,0:00:04,0:00:49,0:00:06,0:00:30,0:00:04,0:00:06,0:00:03,0:00:05
14,28,19,16,20,21,16,16,16,21
88,8846,337,579,2717,1095,203,151,168,4200
0:00:03,0:11:28,0:00:20,0:00:41,0:04:05,0:01:23,0:00:13,0:00:08,0:00:08,0:05:23
10,23,16,24,25,20,19,19,23,23
174,1755,250,6521,1554,5559,658,1206,19428,954
0:00:07,0:01:52,0:00:11,0:07:44,0:01:29,0:05:03,0:00:40,0:01:08,0:20:24,0:00:58
22,15,21,16,16,19,18,20,21,24
365,1119,182,228,255,118,384,927,460,6141
0:00:14,0:00:43,0:00:07,0:00:10,0:00:07,0:00:03,0:00:13,0:00:31,0:00:19,0:05:35
18,19,15,17,21,22,19,16,17,18
1517,1496,219,653,16384,14204,2172,2617,463,151
0:00:42,0:00:53,0:00:05,0:00:21,0:09:26,0:12:39,0:00:53,0:01:10,0:00:13,0:00:04
16,15,10,13,12,12,11,12,6,15
534,227,74,352,204,151,107,266,39,195
0:00:11,0:00:04,0:00:01,0:00:07,0:00:02,0:00:02,0:00:01,0:00:04,0:00:00,0:00:05
5,5,6,6,7,6,3,6,7,9
18,15,5,7,10,13,10,17,9,21
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
