1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
0:00:10,0:00:10,0:00:10,0:00:10,0:00:10,0:00:10,0:00:09,0:00:10,0:00:09,0:00:09,0:00:10,0:00:10,0:00:10,0:00:09,0:00:10,0:00:09,0:00:10,0:00:10,0:00:09,0:00:10,0:00:10,0:00:09,0:00:11,0:00:11,0:00:10,0:00:10,0:00:10,0:00:10,0:00:10,0:00:10
10,6,5,4,4,6,16,3,5,10,4,4,7,6,11,8,20,5,4,11,15,3,7,6,7,3,6,3,6,9
113,94,95,90,100,93,125,94,97,126,98,98,93,109,117,131,717,94,95,113,344,93,109,134,100,90,109,91,99,116
0:00:12,0:00:08,0:00:10,0:00:08,0:00:09,0:00:09,0:00:12,0:00:08,0:00:08,0:00:13,0:00:09,0:00:11,0:00:09,0:00:11,0:00:09,0:00:15,0:02:26,0:00:08,0:00:08,0:00:11,0:00:40,0:00:08,0:00:11,0:00:11,0:00:09,0:00:08,0:00:11,0:00:07,0:00:09,0:00:11
22,12,23,9,6,20,22,9,18,6,24,10,27,13,9,18,14,15,18,10,17,25,10,17,7,28,4,19,6,8
201,251,734,161,112,117,1244,126,325,93,801,193,996,117,89,95,165,382,899,153,824,1533,126,140,113,547,91,561,116,107
0:00:30,0:00:39,0:02:26,0:00:13,0:00:08,0:00:12,0:03:33,0:00:09,0:01:03,0:00:06,0:01:46,0:00:24,0:04:07,0:00:10,0:00:06,0:00:08,0:00:18,0:01:00,0:02:59,0:00:15,0:01:25,0:05:50,0:00:12,0:00:18,0:00:10,0:01:47,0:00:08,0:01:57,0:00:08,0:00:08
34,32,11,23,32,17,16,32,25,26,26,31,29,22,26,13,21,20,26,32,24,25,16,28,23,24,30,24,9,32
3250,1511,156,224,3416,511,215,20400,6216,2609,325,5660,2380,200,3293,123,902,934,1793,10449,536,539,335,3658,643,1170,1984,518,95,18821
0:12:31,0:04:46,0:00:13,0:00:34,0:10:05,0:01:21,0:00:30,1:12:54,0:18:45,0:06:47,0:00:37,0:20:46,0:08:06,0:00:26,0:11:16,0:00:12,0:02:37,0:02:43,0:04:53,0:40:44,0:01:40,0:01:26,0:00:41,0:14:51,0:02:16,0:03:43,0:07:17,0:01:32,0:00:06,1:06:09
32,34,28,34,29,29,28,25,27,31,31,31,30,26,33,27,31,28,24,34,31,28,36,34,31,17,26,36,25,27
689,2254,327,3093,1727,2136,1025,369,1192,3593,212,1300,1807,629,5018,857,769,25182,1773,2295,3439,728,17798,32341,8415,323,1329,17214,334,1457
