8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
0,0,0,0,0,0,0,0,0,0
7,7,7,7,7,7,7,7,7,7
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1,1,1,1,1,1,1,1,1,1
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8
0,0,0,0,0,0,0,0,0,0
7,7,7,7,7,7,7,7,7,7
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1,1,1,1,1,1,1,1,1,1
7,7,7,7,7,7,7,7,7,7
7,7,7,7,6,9,7,6,7,6
7,7,7,7,6,8,7,6,7,6
0,0,0,0,0,1,0,0,0,0
6,6,6,6,6,7,6,6,6,6
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1,1,1,1,1,2,1,1,1,1
6,6,6,6,6,6,6,6,6,6
8,6,6,6,6,6,6,6,6,6
7,5,6,5,6,5,6,6,5,6
1,1,0,1,0,1,0,0,1,0
6,5,5,4,5,4,5,5,6,5
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
2,2,1,2,1,2,1,1,2,1
5,5,5,5,5,5,5,5,5,5
6,5,7,4,5,4,4,7,5,6
5,5,5,3,5,4,4,5,4,5
1,0,2,1,0,0,0,2,1,1
5,4,5,4,3,4,4,2,3,5
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
2,1,3,2,1,1,1,2,2,2
4,4,4,4,4,4,4,4,4,4
3,4,3,3,4,4,3,3,4,5
3,3,2,3,4,3,2,3,3,4
0,1,1,0,0,1,1,0,1,1
3,3,3,3,2,2,3,3,3,1
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1,2,2,1,1,2,2,1,2,2
4,4,4,4,4,4,4,4,4,4
4,4,4,6,3,3,4,3,6,4
3,4,4,3,3,2,3,3,3,4
1,0,0,3,0,1,1,0,3,0
3,2,2,1,3,3,3,3,1,2
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
2,1,1,3,1,2,2,1,3,1
3,3,3,3,3,3,3,3,3,3
3,2,2,2,2,2,2,2,2,2
2,2,1,1,2,2,2,2,2,1
1,0,1,1,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
2,1,2,2,1,1,1,1,1,2
2,2,2,2,2,2,2,2,2,2
0,1,2,1,0,1,1,0,1,2
0,1,1,1,0,1,1,0,0,1
0,0,1,0,0,0,0,0,1,1
1,0,0,0,1,0,0,1,0,0
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1,1,2,1,1,1,1,1,2,2
1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
1,1,1,1,1,1,1,1,1,1
